<torch.utils.data.dataloader.DataLoader object at 0x7f25d98c7af0>
Epoch 399/500 - Loss: 0.2043
Epoch 400/500 - Loss: 0.2030
Epoch 401/500 - Loss: 0.2030
Epoch 402/500 - Loss: 0.2033
Epoch 403/500 - Loss: 0.2024
Epoch 404/500 - Loss: 0.2009
Epoch 405/500 - Loss: 0.2019
Epoch 406/500 - Loss: 0.2027
Epoch 407/500 - Loss: 0.2025
Epoch 408/500 - Loss: 0.2050
Epoch 409/500 - Loss: 0.2030
Epoch 410/500 - Loss: 0.2035
Epoch 411/500 - Loss: 0.2042
Epoch 412/500 - Loss: 0.2043
Epoch 413/500 - Loss: 0.2018
Epoch 414/500 - Loss: 0.2031
Epoch 415/500 - Loss: 0.2022
Epoch 416/500 - Loss: 0.2034
Epoch 417/500 - Loss: 0.2009
Epoch 418/500 - Loss: 0.2015
Epoch 419/500 - Loss: 0.2027
Epoch 420/500 - Loss: 0.2006
Epoch 421/500 - Loss: 0.2017
Epoch 422/500 - Loss: 0.2036
Epoch 423/500 - Loss: 0.2014
Epoch 424/500 - Loss: 0.2021
Epoch 425/500 - Loss: 0.2027
Epoch 426/500 - Loss: 0.2015
Epoch 427/500 - Loss: 0.2012
Epoch 428/500 - Loss: 0.2010
Epoch 429/500 - Loss: 0.2000
Epoch 430/500 - Loss: 0.2027
Epoch 431/500 - Loss: 0.2032
Epoch 432/500 - Loss: 0.2031
Epoch 433/500 - Loss: 0.2002
Epoch 434/500 - Loss: 0.2018
Epoch 435/500 - Loss: 0.2020
Epoch 436/500 - Loss: 0.2018
Epoch 437/500 - Loss: 0.2039
Epoch 438/500 - Loss: 0.2009
Epoch 439/500 - Loss: 0.2017
Epoch 440/500 - Loss: 0.2010
Epoch 441/500 - Loss: 0.2019
Epoch 442/500 - Loss: 0.2016
Epoch 443/500 - Loss: 0.2020
Epoch 444/500 - Loss: 0.2029
Epoch 445/500 - Loss: 0.2008
Epoch 446/500 - Loss: 0.2020
Epoch 447/500 - Loss: 0.2004
Epoch 448/500 - Loss: 0.2016
Epoch 449/500 - Loss: 0.1999
Epoch 450/500 - Loss: 0.2010
Epoch 451/500 - Loss: 0.2026
Epoch 452/500 - Loss: 0.2023
Epoch 453/500 - Loss: 0.2017
Epoch 454/500 - Loss: 0.2011
Epoch 455/500 - Loss: 0.2004
Epoch 456/500 - Loss: 0.2005
Epoch 457/500 - Loss: 0.2037
Epoch 458/500 - Loss: 0.2017
Epoch 459/500 - Loss: 0.2006
Epoch 460/500 - Loss: 0.1995
Epoch 461/500 - Loss: 0.2010
Epoch 462/500 - Loss: 0.1996
Epoch 463/500 - Loss: 0.2011
Epoch 464/500 - Loss: 0.2011
Epoch 465/500 - Loss: 0.1999
Epoch 466/500 - Loss: 0.2032
Epoch 467/500 - Loss: 0.2026
Epoch 468/500 - Loss: 0.2008
Epoch 469/500 - Loss: 0.1993
Epoch 470/500 - Loss: 0.2021
Epoch 471/500 - Loss: 0.1987
Epoch 472/500 - Loss: 0.2007
Epoch 473/500 - Loss: 0.2002
Epoch 474/500 - Loss: 0.1999
Epoch 475/500 - Loss: 0.2028
Epoch 476/500 - Loss: 0.1997
Epoch 477/500 - Loss: 0.1998
Epoch 478/500 - Loss: 0.2011
Epoch 479/500 - Loss: 0.1996
Epoch 480/500 - Loss: 0.1999
Epoch 481/500 - Loss: 0.2016
Epoch 482/500 - Loss: 0.1987
Epoch 483/500 - Loss: 0.2009
Epoch 484/500 - Loss: 0.1999
Epoch 485/500 - Loss: 0.1997
Epoch 486/500 - Loss: 0.2001
Epoch 487/500 - Loss: 0.2031
Epoch 488/500 - Loss: 0.2011
Epoch 489/500 - Loss: 0.1991
Epoch 490/500 - Loss: 0.1988
Epoch 491/500 - Loss: 0.2001
Epoch 492/500 - Loss: 0.1997
Epoch 493/500 - Loss: 0.2010
Epoch 494/500 - Loss: 0.2020
Epoch 495/500 - Loss: 0.1994
Epoch 496/500 - Loss: 0.1996
Epoch 497/500 - Loss: 0.2002
Epoch 498/500 - Loss: 0.1996
Epoch 499/500 - Loss: 0.1978
Epoch 500/500 - Loss: 0.2006
['1_0.23', '5_0.20568031128396325', '3_0.24120769542168807', '2_0.23964066229720804', '6_0.22636230218219247', '4_0.2201048572433186']
SAVING IN runs/7_0.19779316292089574
